nbd,foodgrp,name,water,energy,protein,carb,fiber,sugar,sodium,satfat,chol
21357,Fast Foods,"MCDONALD'S,EGG MCMUFFIN",52.58,228,13.64,21.67,1.1,2.13,617,3.592,165
21358,Fast Foods,"MCDONALD'S,SAUSAGE MCMUFFIN",38.94,333,12.66,24.52,1.4,1.93,693,7.253,39
21359,Fast Foods,"MCDONALD'S,SAUSAGE MCMUFFIN W/ EGG",49.96,274,12.59,17.28,0.9,1.57,572,6.008,154
21360,Fast Foods,"MCDONALD'S,BACON EGG & CHS BISCUIT",42.29,304,13.45,22.26,0.9,2.18,863,8.262,167
21361,Fast Foods,"MCDONALD'S,SAUSAGE BISCUIT",34.71,376,9.62,27.2,1.2,1.97,875,10.659,29
21362,Fast Foods,"MCDONALD'S,SAUSAGE BISCUIT W/ EGG",44.62,311,11.27,19.28,0.8,1.43,664,8.628,152
21363,Fast Foods,"MCDONALD'S,DELUXE BRKFST,W/ SYRUP & MARGARINE",45.91,285,7.56,29.48,1,9.88,437,4.642,109
21364,Fast Foods,"MCDONALD'S,HOTCAKES & SAUSAGE",40.7,294,7.81,37.55,1.6,7.29,484,3.646,19
21365,Fast Foods,"MCDONALD'S,HOTCAKES (WITH 2 PATS MARGARINE & SYRUP)",40.6,272,4.05,46.08,0.9,20.58,283,0.818,9
21376,Fast Foods,"MCDONALD'S,BACON RANCH SALAD W/ GRILLED CHICK",81.42,81,10.28,3.64,1,1.73,230,1.235,28
21377,Fast Foods,MCDONALD'S BACON RANCH SALAD W/ CRISPY CHICK,77.38,122,8.82,6.08,1,1.53,273,1.622,22
21378,Fast Foods,"MCDONALD'S,BACON RANCH SALAD WO/ CHICK",87.2,61,4.14,4.2,1.5,2.14,132,1.507,12
21379,Fast Foods,"MCDONALD'S,SIDE SALAD",93.93,20,1.03,4.3,1.6,2.24,12,0.02,0
21380,Fast Foods,"MCDONALD'S,FRUIT 'N YOGURT PARFAIT",74.61,105,2.73,20.72,1,12.83,58,0.041,5
21381,Fast Foods,"MCDONALD'S,FRUIT 'N YOGURT PARFAIT (WITHOUT GRANOLA)",78.18,90,2.47,17.67,0.9,11.9,38,0.004,5
21382,Fast Foods,"MCDONALD'S,FILET-O-FISH (WITHOUT TARTAR SAUCE)",46.9,243,12.47,31.08,1,4.27,464,1.773,25
21383,Fast Foods,"BURGER KING,CROISSAN'WICH W/ SAUSAGE,EGG & CHS",48.1,308,12.09,15.9,1.8,3.12,577,8.342,123
21384,Fast Foods,"BURGER KING,CROISSAN'WICH W/ SAUSAGE & CHS",35.08,376,13.73,23,0.7,3.36,782,8.595,43
21385,Fast Foods,"BURGER KING,CROISSAN'WICH W/ EGG & CHS",46.4,283,10.35,24.79,0.7,4.03,650,4.766,139
21386,Fast Foods,"BURGER KING,FRENCH TOAST STKS",33.57,349,6,41.21,1.4,9.89,428,3.989,0
21387,Fast Foods,"BURGER KING,HASH BROWN ROUNDS",46.34,302,2.8,29.37,2.3,0.63,568,3.285,0
21388,Fast Foods,"FAST FOODS,MINIATURE CINN ROLLS",19.62,403,7.02,53.38,2.2,17.98,554,4.701,21
21389,Fast Foods,"FAST FOODS,HAMBURGER; DOUBLE,LRG PATY; W/ CONDMNT,VEG & MAYO",55.29,252,13.94,13.74,1.4,3.52,289,5.773,46
21390,Fast Foods,"FT FDS, HAMBRGER; SIN, LRG PATTY; W/ CONDMNTS, VEG, MAYO",57.52,226,11.34,17.33,1.5,4,342,3.972,33
21395,Fast Foods,"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY; W/ CONDMNT",47.16,282,16.24,17.97,0.9,4.16,617,6.96,50
